SessionGUID;String;GUID идентификатор сессии пользователя.
Id_Language;int;Идентификатор языка для названий.
ActualDate;String;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_PersonRequestSeasons;int;Глобальный идентификатор вступительной компании.
