SessionGUID;String;GUID идентификатор сессии пользователя.
KOATUUCode;String;Десятизначный код КОАТУУ.
Type;String;Тип КОАТУУ. Предусмотрены такие типызаписей КОАТУУ. Тип Название Р Район города М Город Т Село городского типа С Село Щ Поселок
KOATUUDateBegin;String;Дата начала действия записи. . Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
KOATUUDateEnd;String;Дата окончания действия записи. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_Language;int;Идентификатор языка для названия KOATUUName.
KOATUUName;String;Название населенного пункта.
