SessionGUID;String;GUID идентификатор сессии пользователя.
Id_Language;int;Идентификатор языка для названий предметов.
ActualDate;String;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
SpecDirectionsCode;String;GUID идентификатор направления специальности. Параметр не обязателен, для игнорирования параметра укажите пустую строку.
Id_PersonRequestSeasons;int;Идентификатор глобальной вступительной компании.
SpecSpecialityCode;String;GUID идентификатор специальности. Параметр не обязателен, для игнорирования параметра укажите пустую строку.
Id_Qualification;int;GUID идентификатор квалификационного уровня. Параметр не обязателен, для игнорирования параметра укажите 0.
