SessionGUID;String;GUID идентификатор сессии пользователя.
UniversityKode;String;GUID идентификатор ВУЗа, при указании которого будут выводиться данные только указанного ВУЗа. Параметр может принимать значение пустой строки. При указании пустой строки параметр будет игнорироваться в фильтре получения ВУЗов.
Id_Language;int;Идентификатор языка для названий ВУЗов.
ActualDate;String;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
UniversityName;String;Маска-фильтр по полному названию ВУЗа. Необязательный параметр. Параметр может принимать значение пустой строки. При указании пустой строки параметр будет игнорироваться в фильтре получения ВУЗов.
