SessionGUID;String;GUID идентификатор сессии пользователя.
Id_KOATUU;int;Идентификатор записи КОАТУУ которую необходимо редактировать. При указании 0 параметры KOATUUCode, Type, KOATUUDateBegin, KOATUUDateEnd игнорируются.
KOATUUCode;String;Десятизначный код КОАТУУ.
Type;String;Тип КОАТУУ. Предусмотрены такие типы записей КОАТУУ. Тип Название Р Район города М Город Т Село городского типа С Село Щ Поселок
KOATUUDateBegin;String;Дата начала действия записи. . Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
KOATUUDateEnd;String;Дата окончания действия записи. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_KOATUUName;int;Идентификатор имени записи КОАТУУ который необходимо редактировать. При указании 0 параметры Id_Language, KOATUUName.
Id_Language;int;Идентификатор языка для названия KOATUUName.
KOATUUName;String;Название населенного пункта.
