SessionGUID;string;GUID идентификатор сессии пользователя.
Id_Language;int;Идентификатор языка на котором будет выводиться текстовая информация справочника. Информацию о языках можно получить с помощью метода LanguagesGet.
ActualDate;string;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС. Параметр не обязательный, для игнорирования параметра укажите пустую строку.
Id_PersonRequestSeasons;int;Идентификатор вступительной компании. Параметр не обязательный, для игнорирования параметра укажите 0.
Id_PersonEducationForm;int;Идентификатор формы обучения. Параметр не обязательный, для игнорирования параметра укажите 0.
OnlyActive;int;Флаг, позволяющий выводить все вступительные компании или только активную. 0 – выводиться все компании. 1 – выводиться только активная вступительная компания.
