SessionGUID;string;GUID идентификатор сессии пользователя.
ActualDate;string;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_Language;int;Идентификатор языка на котором будет выводиться текстовая информация справочника. Информацию о языках можно получить с помощью метода LanguagesGet.
PersonCodeU;string;GUID идентификатор персоны.
Id_PersonAddress;int;Идентификатор адреса персоны, при указании которого будут возвращаться данные только указанного адреса. Параметр не обязательный, для игнорирования параметра – необходимо указать 0.
