SessionGUID;string;GUID идентификатор сессии пользователя.
ActualDate;string;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_Language;int;Идентификатор языка на котором будет выводиться текстовая информация справочника. Информацию о языках можно получить с помощью метода LanguagesGet.
PersonCodeU;string;GUID идентификатор персоны. Необязательное поле.
Id_PersonDocumentType;int;Идентификатор типа документа. Параметр необязательный. Для вывода всех документов персоны укажите 0.
Id_PersonDocument;int;Идентификатор документа, при указании которого будут возвращаться данные только указанного документа. Параметр не обязательный, для игнорирования параметра –необходимо указать 0.
UniversityKode;string;GUID идентификатор ВУЗА. Параметр не обязательный. Данный параметр предназначен для получения среднего балла аттестата установленного определенным ВУЗом. Если параметр указан то будет получен средний балл аттестата, который был установлен с помощью метода AttestValueChange для указанного ВУЗа. Если параметр не указан, то будет выбран средний балл аттестата, установленный для документа «аттестат».
IsEntrantDocument;int;Флаг указывающий на выводить документы на основе которых можно подавать заявления на поступления (1) или другие документы (0). Параметр не обязательный, для игнорирования параметра необходимо указать -1.
