SessionGUID;string;GUID идентификатор сессии пользователя.
ActualDate;string;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_Language;int;Идентификатор языка на котором будет выводиться текстовая информация справочника. Информацию о языках можно получить с помощью метода LanguagesGet.
PersonCodeU;string;GUID идентификатор персоны.
Id_PersonEducation;int;Идентификатор записи об обучении персоны, при указании которого будут возвращаться данные только указанной записи. Параметр не обязательный, для игнорирования параметра – необходимо указать 0.
Id_PersonEducationType;int;Идентификатор типа обучения. Допустимое значение 3.
Filters;string;Комплексный параметр, для передачи дополнительных фильтров для данных. Параметр не обязательный. Подробное описание комплексного типа смотрите в документе «Работа с web сервисами ЄДЕБО» в разделе «2.5.1 Комплексный параметр». Типы данных, которые возможно устанавливать в комплексном параметре: Id_University, id_PersonEducationHistoryType.
