SessionGUID;string;GUID идентификатор сессии пользователя.
ActualDate;string;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_Language;int;Идентификатор языка на котором будет выводиться текстовая информация справочника. Информацию о языках можно получить с помощью метода LanguagesGet.
Id_PersonDocument;int;Идентификатор документа для которого выбираются предметы. Параметр не обязательный, если указан Id_Person.Для игнорирования параметра необходимо указать 0.
Id_Person;int;Идентификатор персоны для которой выбираются предметы документа. Параметр не обязательный, если указан Id_PersonDocument.Для игнорирования параметра необходимо указать 0.
Id_PersonDocumentType;int;Идентификатор типа документа. Параметр обязательный только если указан Id_Person.Для игнорирования параметра необходимо указать 0
