SessionGUID;string;GUID идентификатор сессии пользователя.
ActualDate;string;Дата на которую берутся актуальные данные. Формат ДД.ММ.ГГГГ ЧЧ:ММ:СС.
Id_Language;int;Идентификатор языка на котором будет выводиться текстовая информация справочника. Информацию о языках можно получить с помощью метода LanguagesGet.
PersonCodeU;string;GUID идентификатор персоны.
Id_PersonEducation;int;Идентификатор записи об обучении персоны.
IsActiveOnly;int;Флаг, указывающий на то что необходимо выводить только активное состояние обучения персоны. Допустимые значения 1 или 0.
